,city,lat,max_temp,cloudiness,humidity,lng,country,date,wind_speed
0,udachnyy,66.42,16.0,0,72,112.4,RU,1562611419,2.0
1,qostanay,53.17,19.0,0,55,63.58,KZ,1562611419,2.0
2,nanortalik,60.14,11.18,100,45,-45.24,GL,1562611419,4.78
3,bredasdorp,-34.53,19.0,50,59,20.04,ZA,1562611420,5.7
4,nikel,69.41,10.0,0,66,30.21,NO,1562611420,7.2
5,sumiswald,47.03,22.0,75,56,7.75,CH,1562611420,2.6
6,tasiilaq,65.61,6.0,20,70,-37.64,GL,1562611420,4.1
7,kodiak,39.95,32.0,40,22,-94.76,US,1562611421,2.1
8,labuhan,-2.54,20.18,0,91,115.51,ID,1562611421,0.84
9,ahipara,-35.17,13.78,97,66,173.16,NZ,1562611296,3.99
10,sur,22.57,28.88,8,69,59.53,OM,1562611422,4.98
11,biak,-0.91,17.38,87,98,122.88,ID,1562611422,1.83
12,rikitea,-23.12,21.78,100,93,-134.97,PF,1562611277,8.1
13,cidreira,-30.17,15.98,18,50,-50.22,BR,1562611326,0.54
14,dikson,73.51,0.18,100,97,80.55,RU,1562611286,7.4
15,punta arenas,-53.16,5.0,90,93,-70.91,CL,1562611278,2.1
16,hammerfest,70.66,15.0,0,51,23.68,NO,1562611423,4.6
17,qaanaaq,77.48,3.58,100,92,-69.36,GL,1562611313,1.69
18,yellowknife,62.45,10.0,75,71,-114.38,CA,1562611003,6.2
19,itaituba,-4.26,30.0,20,70,-55.99,BR,1562611423,2.25
20,katsuura,33.93,22.0,75,94,134.5,JP,1562611295,5.1
21,guerrero negro,27.97,18.08,48,88,-114.04,MX,1562611358,4.52
22,azanka,58.04,11.68,100,89,64.79,RU,1562611424,1.44
23,bluff,-23.58,12.78,16,91,149.07,AU,1562611316,0.76
24,jamestown,-33.21,6.98,0,87,138.6,AU,1562611231,1.98
25,kahului,20.89,26.11,75,88,-156.47,US,1562611313,6.7
26,albany,42.65,28.89,20,34,-73.75,US,1562611046,1.5
27,san cristobal,14.68,27.78,79,53,-86.92,HN,1562610846,2.65
28,zhezkazgan,47.8,25.58,0,23,67.71,KZ,1562611425,2.64
29,havre-saint-pierre,50.23,18.0,1,63,-63.6,CA,1562611426,12.3
30,esperance,-33.86,8.0,0,87,121.89,AU,1562611426,4.6
31,ilulissat,69.22,15.0,20,38,-51.1,GL,1562611304,3.1
32,puerto ayora,-0.74,26.0,75,69,-90.35,EC,1562611284,3.1
33,longyearbyen,78.22,10.0,75,81,15.63,NO,1562611340,2.1
34,clinton,41.28,28.33,1,39,-72.53,US,1562611300,1.78
35,alta floresta,-9.87,34.0,0,26,-56.08,BR,1562611379,4.1
36,nouadhibou,20.93,22.0,0,73,-17.03,MR,1562611427,9.8
37,arraial do cabo,-22.97,22.0,20,56,-42.02,BR,1562611056,3.6
38,atuona,-9.8,26.78,0,67,-139.03,PF,1562611301,4.92
39,east london,-33.02,15.0,0,67,27.91,ZA,1562611290,3.1
40,rocha,-34.48,13.18,47,58,-54.34,UY,1562611320,1.84
41,new norfolk,-42.78,7.78,20,70,147.06,AU,1562611278,3.6
42,ponta do sol,-20.63,19.68,0,49,-46.0,BR,1562611294,2.6
43,surt,31.21,28.68,0,56,16.59,LY,1562611429,3.6
44,ust-kut,56.78,14.88,76,93,105.75,RU,1562611429,1.17
45,leningradskiy,69.38,10.68,51,64,178.42,RU,1562611357,3.59
46,busselton,-33.64,11.11,61,73,115.35,AU,1562611289,6.88
47,hermanus,-34.42,17.78,83,71,19.24,ZA,1562611430,3.13
48,halifax,44.65,27.22,20,31,-63.58,CA,1562611249,7.2
49,egvekinot,66.32,20.38,22,45,-179.17,RU,1562611288,1.08
50,shenjiamen,29.96,23.48,100,82,122.3,CN,1562611359,2.32
51,vanderhoof,54.02,21.68,100,57,-124.02,CA,1562611431,0.94
52,paamiut,61.99,9.58,98,64,-49.67,GL,1562611431,3.24
53,vao,59.1,15.28,0,73,26.19,EE,1562611431,3.55
54,hobart,-42.88,7.78,20,70,147.33,AU,1562611218,3.6
55,ushuaia,-54.81,8.0,0,65,-68.31,AR,1562610977,1.5
56,broken hill,-31.97,5.0,0,86,141.45,AU,1562611432,1.44
57,vaini,15.34,26.08,94,85,74.49,IN,1562611279,5.31
58,elizabeth city,36.3,31.67,75,66,-76.22,US,1562611405,3.6
59,port alfred,-33.59,18.33,74,67,26.89,ZA,1562611297,3.13
60,pangody,65.85,10.78,85,65,74.49,RU,1562611433,6.35
61,nikolskoye,59.7,15.56,75,72,30.79,RU,1562611365,4.0
62,butaritari,3.07,27.78,100,73,172.79,KI,1562611291,2.28
63,saint-philippe,45.36,28.33,1,39,-73.48,CA,1562611007,4.6
64,mar del plata,-46.43,9.78,48,60,-67.52,AR,1562611284,4.93
65,thompson,55.74,18.0,90,88,-97.86,CA,1562611194,3.6
66,lompoc,34.64,20.0,90,77,-120.46,US,1562611178,3.1
67,iqaluit,63.75,12.0,90,76,-68.52,CA,1562611351,3.1
68,aksarka,66.56,12.18,99,56,67.8,RU,1562611434,6.12
69,hilo,19.71,26.67,90,83,-155.08,US,1562610938,1.5
70,torbay,47.66,24.44,20,35,-52.73,CA,1562611434,7.7
71,adra,36.75,26.11,0,57,-3.02,ES,1562611435,12.9
72,mountain home,43.13,23.0,75,35,-115.69,US,1562611435,2.6
73,khatanga,71.98,6.28,77,94,102.47,RU,1562611343,1.63
74,mehamn,71.03,10.0,0,81,27.85,NO,1562611069,1.0
75,avarua,-21.21,20.0,33,94,-159.78,CK,1562610989,0.5
76,roebourne,-20.77,20.68,3,31,117.15,AU,1562611436,4.15
77,mataundh,25.44,27.48,100,87,80.16,IN,1562611436,2.31
78,sao filipe,14.9,22.68,79,79,-24.5,CV,1562611275,6.2
79,georgetown,6.8,30.0,20,70,-58.16,GY,1562611211,6.2
80,plettenberg bay,-34.05,14.88,83,76,23.37,ZA,1562611437,1.65
81,yuci,37.68,20.0,0,60,112.73,CN,1562611437,2.0
82,bethel,60.79,22.0,1,78,-161.76,US,1562611293,1.5
83,san rafael del sur,11.85,32.48,100,50,-86.44,NI,1562611438,4.73
84,hasaki,35.73,18.0,75,88,140.83,JP,1562611353,4.1
85,redlands,34.06,25.56,1,53,-117.19,US,1562611438,2.1
86,hithadhoo,-0.6,29.18,34,78,73.08,MV,1562611308,6.34
87,norman wells,65.28,16.0,75,55,-126.83,CA,1562611287,6.2
88,brae,60.4,12.0,58,87,-1.35,GB,1562611354,3.1
89,awbari,26.59,34.28,0,10,12.77,LY,1562611439,3.35
90,pangai,-19.8,23.0,75,100,-174.35,TO,1562611439,3.1
91,pevek,69.7,6.78,37,69,170.27,RU,1562611283,1.03
92,damghan,36.17,17.08,3,79,54.34,IR,1562611440,1.0
93,trinidad,-14.83,27.0,0,44,-64.9,BO,1562611440,2.1
94,sechura,-5.56,17.78,23,88,-80.82,PE,1562611440,5.68
95,kawalu,-7.38,19.38,90,95,108.21,ID,1562611185,1.22
96,sao joao da barra,-21.64,23.0,75,53,-41.05,BR,1562611441,2.1
97,provideniya,64.42,19.08,64,30,-173.23,RU,1562611375,2.52
98,salamiyah,35.01,24.18,0,59,37.05,SY,1562611441,8.22
99,robe,7.12,10.28,28,91,40.01,ET,1562611441,1.81
100,castro,-42.48,10.0,90,100,-73.76,CL,1562611277,6.2
101,umm lajj,25.02,29.18,0,73,37.27,SA,1562611442,1.41
102,puerto leguizamo,-0.19,20.68,100,90,-74.78,CO,1562611442,0.89
103,gizo,31.8,27.78,0,78,34.94,IL,1562611442,2.6
104,faanui,-16.48,26.18,34,82,-151.75,PF,1562611298,7.48
105,praya,-8.71,19.0,20,93,116.27,ID,1562611443,2.1
106,grindavik,63.84,13.89,75,66,-22.43,IS,1562611338,6.2
107,port hardy,50.7,14.0,90,87,-127.42,CA,1562611297,2.1
108,margate,-43.03,7.78,20,70,147.26,AU,1562611443,3.6
109,boa vista,2.82,29.0,75,62,-60.67,BR,1562611443,1.5
110,marawi,8.0,23.89,77,91,124.29,PH,1562611281,2.24
111,kankon,15.02,28.0,90,88,74.02,IN,1562611444,5.1
112,dingle,11.0,23.68,100,85,122.67,PH,1562611292,0.91
113,necochea,-38.55,12.78,100,76,-58.74,AR,1562611444,4.92
114,rawson,-43.3,13.38,31,44,-65.11,AR,1562611445,2.2
115,portland,43.66,29.44,20,36,-70.25,US,1562611353,4.6
116,anadyr,64.73,15.0,0,72,177.51,RU,1562611445,3.0
117,pangoa,-12.12,28.28,24,45,-73.0,PE,1562611445,1.84
118,vanavara,60.35,14.18,27,84,102.28,RU,1562611446,1.1
119,semey,50.41,20.08,81,43,80.25,KZ,1562611446,2.28
120,san joaquin,10.59,24.88,84,86,122.14,PH,1562611446,0.85
121,portales,34.19,29.0,1,42,-103.33,US,1562611447,6.7
